Seguridad Social o Hacienda,"Tiene un adeudo pendiente con Hacienda. Si no realiza el pago inmediato, enfrentará consecuencias legales",88
Seguridad Social o Hacienda,Ha sido seleccionado para una auditoría fiscal. Necesitamos que nos proporcione su información financiera,83
Seguridad Social o Hacienda,"Tenemos un reembolso de impuestos para usted, pero necesitamos verificar su información bancaria",85
Familiares en peligro,¡Ayuda! Soy tu hijo/a y estoy en un gran problema.,94
Familiares en peligro,He tenido un accidente y necesito que me envíes dinero urgentemente.,90
Familiares en peligro,"No puedo hablar mucho, pero estoy en una situación crítica.",41
Familiares en peligro,"Por favor, no le digas a nadie; esto es un asunto privado.",70
Familiares en peligro,Estoy siendo detenido y necesito que pagues una fianza ahora mismo.,30
Familiares en peligro,Me lastimé y no tengo forma de llegar a casa; necesito tu ayuda.,46
Familiares en peligro,He sido víctima de un robo y necesito dinero para salir de aquí.,70
Familiares en peligro,"No tengo tiempo para explicarte; simplemente envía el dinero, por favor.",60
Familiares en peligro,Estoy en el hospital y no puedo comunicarme bien; ayúdame.,40
Familiares en peligro,"Es muy urgente; no puedo hablar mucho por teléfono, pero confía en mi",80
,"Hola soy tu vecino, no tengo azúcar, se me olvidó comprar. Me podrías regalar un poco?",0
,"Hola abuela, cómo te sientes después de la operación?",0
,Este es solo un mensaje informativo. No es necesario hacer nada en este momento,0
,Llamamos para recordarle que su cuenta está activa y en orden. No requiere acción,0
,Nos alegra informarle que todo está funcionando correctamente en su cuenta,0
,Le recordamos que sus servicios están al día. Gracias por su confianza en nosotros,0
,Este es un recordatorio de su cita médica programada para el 10 de noviembre a las 3:00 PM.,0
,Le recordamos que siempre puede llamarnos a nuestro número oficial si tiene dudas,0
,No olvide su cita para el servicio de mantenimiento del automóvil el próximo martes.,0
,Queríamos saber si tiene alguna pregunta. Estamos aquí para ayudarle,0
,¿Cómo te va hoy? Me gustaría saber qué tal te ha ido esta semana,0
,Estamos organizando una reunión familiar y queríamos que vinieras. Te extrañamos,0
,"Quería recordarte que siempre estoy aquí si necesitas algo, no dudes en llamar",0
,¿Te gustaría que pasara a visitarte este fin de semana? Me encantaría verte,0
,"Hola, soy [tu nombre] de [nombre de la empresa]. Espero que sea un buen momento para hablar.",0
,¿Te puedo echar una mano con eso?,0
,¿Te gustaría salir a tomar algo?,0
,¿Cómo van tus nietos?,0
,Tenemos una oferta especial para usted. quisiera escucharla?,2
,Necesitamos actualizar su información de contacto,45
,Su tarjeta ha sido bloqueada por razones de seguridad,50
,Tenemos un regalo especial para usted por ser nuestro cliente,55
